college_name,choice_code,branch,category_code,percentile,stage,year
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,GOBC,88.4,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,LOPEN,88.46,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,LSC,84.0,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,LOBC,87.95,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,EWS,83.13,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,GOPEN,76.06,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,GSC,70.88,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,GOBC,72.18,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,LOPEN,76.11,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,LSC,72.13,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,LOBC,75.0,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,EWS,79.06,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111437210,Electronics and Telecommunication Engg,LNTB,72.5,Stage-II,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,GOPEN,77.03,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,GSC,73.44,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,GOBC,68.88,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,LOPEN,92.79,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111461210,Mechanical Engineering,EWS,84.69,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,GOPEN,77.7,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,GSC,73.68,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,GNTC,77.42,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,GOBC,71.63,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,LOPEN,67.38,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,LSC,59.38,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,LOBC,52.06,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,EWS,68.95,Stage-I,2021
